,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
876F93,"Pork, heart, boiled",Per 100 g,189.0,28.1,7.9,1.3,0.0,81.0,100,TH
877F94,"Pork, heart, fried",Per 100 g,235.0,30.6,11.5,2.3,0.0,220.0,100,TH
878F177,"Pork, tendon, boiled",Per 100 g,51.0,12.8,0.0,0.0,0.0,45.0,100,TH
879F162,"Pork, belly, deep-fried",Per 100 g,502.0,19.9,46.9,0.0,0.0,180.0,100,TH
87B11,"Potato, raw",Per 100 g,70.0,2.5,0.2,14.6,0.0,26.0,100,TH
880F104,"Bullfrog, dried",Per 100 g,457.0,55.6,21.5,10.4,0.0,0.0,100,TH
881F178,"Truncate-snouted burrowing frog (Balloon frog), raw, include bone",Per 100 g,96.0,16.2,2.2,2.7,0.0,0.0,100,TH
882F139,"Sausage, Chinese, chicken, fried, no added oil",Per 100 g,545.0,14.6,39.2,33.0,0.6,946.0,100,TH
883F150,"Sausage, Chinese, pork, fried",Per 100 g,513.0,14.0,33.8,37.8,0.2,1.2,100,TH
884F151,"Sausage, Chinese, pork, fatless, fried",Per 100 g,514.0,15.1,33.9,36.8,0.0,1.3,100,TH
885F135,"Chicken, skeleton, batter-fried",Per 100 g,375.0,19.1,25.2,17.8,0.0,494.0,100,TH
886F140,"Chicken, sausage, white, streamed, fried",Per 100 g,342.0,11.2,25.7,16.4,0.0,867.0,100,TH
887F141,"Chicken, shredded, dried",Per 100 g,353.0,38.1,2.6,44.0,0.0,1.5,100,TH
888F47,"Pork, skin, crispy",Per 100 g,593.0,58.4,39.8,0.0,0.0,1.4,100,TH
889F179,"Pork skin, deep fried, less fat (labelled as ""no fat"")",Per 100 g,515.0,56.4,27.0,11.5,0.0,0.0,100,TH
88B12,"Cassava, raw",Per 100 g,137.0,0.8,0.2,33.0,0.0,0.0,100,TH
890F132,"Pork, ham, whole separable lean only, raw",Per 100 g,148.0,20.4,7.4,0.0,0.0,119.0,100,TH
891F48,"Beef, salted",Per 100 g,139.0,30.6,1.5,0.7,0.0,0.0,100,TH
892F142,"Beef, marinated, sun-dried, deep-fried",Per 100 g,324.0,45.1,12.7,7.0,0.0,1.5,100,TH
893F146,"Beef, jerky",Per 100 g,336.0,38.0,4.9,34.9,0.0,1.3,100,TH
894F138,"Meat ball, chicken, blanched",Per 100 g,161.0,15.9,9.0,3.9,0.0,579.0,100,TH
895F137,"Meat ball, chicken, fried",Per 100 g,188.0,15.1,11.0,7.2,0.0,596.0,100,TH
896F61,"Meat ball, beef, blanched",Per 100 g,96.0,14.4,1.6,5.9,0.0,714.0,100,TH
897F148,"Meat ball, beef, fried",Per 100 g,120.0,15.7,3.5,6.3,0.0,713.0,100,TH
898F182,"Meat ball, beef, grilled",Per 100 g,163.0,17.7,3.0,15.9,0.3,0.0,100,TH
899F149,"Meat ball, beef, tendon, blanched",Per 100 g,159.0,16.0,7.8,5.8,0.0,688.0,100,TH
89B19,"Cassava, boiled",Per 100 g,119.0,0.4,0.2,27.7,2.3,2.0,100,TH
8A10,"Rice, polished, raw",Per 100 g,359.0,6.6,0.7,80.9,0.9,19.0,100,TH
900F154,"Meat ball, pork, fried",Per 100 g,174.0,14.7,8.7,9.1,0.0,668.0,100,TH
901F156,"Meat ball, pork, blanched",Per 100 g,141.0,13.2,6.0,8.3,0.0,656.0,100,TH
902F160,"Meat ball, pork, tendon, blanched",Per 100 g,173.0,16.2,9.9,4.7,0.0,636.0,100,TH
903F157,"Typical Chinese ball, minced mixed meat (pork, shrimp, fish), steamed",Per 100 g,244.0,11.6,16.2,13.0,0.0,630.0,100,TH
904F158,"Typical Chinese ball, minced mixed meat (pork, shrimp, fish) with hard white tofu, steamed",Per 100 g,176.0,13.2,11.1,5.9,0.0,124.0,100,TH
905F159,"Typical Chinese ball, minced mixed meat (pork, shrimp, fish) with fried tofu, steamed",Per 100 g,272.0,9.9,19.2,15.0,0.0,346.0,100,TH
906F62,Fermented beef (Som),Per 100 g,143.0,22.2,2.2,8.6,0.0,0.0,100,TH
