,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
1047G152,"Mackerel, Spanish, piece, fried",Per 100 g,190.0,28.1,8.5,0.2,0.0,161.0,100,TH
1048G154,"Sea cucumber, white, without internal organs, raw",Per 100 g,65.0,10.4,0.0,5.6,0.0,0.0,100,TH
1049G155,"Sea cucumber, black, raw",Per 100 g,44.0,8.7,0.2,1.7,0.0,0.0,100,TH
104N122,"Ginger, sliced, fine",Per 100 g,32.0,0.6,0.2,6.9,0.0,16.0,100,TH
1050G219,"Crab, paddle-leg, flesh, cooked",Per 100 g,92.0,20.5,0.9,0.6,0.0,218.0,100,TH
1051G156,"Crab, serraed mud, meat",Per 100 g,92.0,17.3,2.5,0.0,0.0,0.0,100,TH
1052G157,"Crab, serraed mud, meat, boiled",Per 100 g,0.0,17.6,0.0,0.0,0.0,331.0,100,TH
1053G20,"Crab, ricefield, raw",Per 100 g,69.0,13.1,1.0,1.7,0.0,302.0,100,TH
1054G160,"Crab, blue swimming",Per 100 g,73.0,15.1,0.7,1.6,0.0,0.0,100,TH
1055G163,Sea horse,Per 100 g,194.0,28.5,0.4,19.2,0.0,0.0,100,TH
1056G165,"Jellyfish, dried",Per 100 g,38.0,6.9,0.0,2.5,0.0,0.0,100,TH
1057G166,"Mussel, horse, raw",Per 100 g,48.0,8.3,1.4,0.4,0.0,0.0,100,TH
1058G168,"Snail, pond/river, raw",Per 100 g,75.0,12.3,1.1,3.6,0.0,30.0,100,TH
1059G220,"Snail, pond/river, boiled",Per 100 g,85.0,13.9,0.7,5.5,0.0,0.0,100,TH
105N17,"Ginger, young rhizome",Per 100 g,11.0,0.5,0.3,0.9,1.4,35.0,100,TH
1060G169,"Cockle / ark shell , raw",Per 100 g,68.0,11.2,0.9,3.5,0.0,386.0,100,TH
1061G171,"Cockle / ark shell, blanched",Per 100 g,58.0,9.6,0.5,3.4,0.0,0.0,100,TH
1062G173,"Scallop/ radiated, raw",Per 100 g,106.0,22.3,0.4,3.3,0.0,0.0,100,TH
1063G221,"Scallop/ radiated, with egg, raw",Per 100 g,74.0,13.6,0.5,3.7,0.0,240.0,100,TH
1064G29,"Apples nail, golden/channeled, raw",Per 100 g,52.0,10.6,0.5,1.2,0.0,77.0,100,TH
1065G174,"Oyster, Pacific, raw",Per 100 g,0.0,0.0,0.0,0.0,0.0,60.0,100,TH
1066G222,"Oyster, Pacific, stir fried",Per 100 g,83.0,7.2,4.0,4.4,0.0,0.0,100,TH
1067G177,"Mussel, green, fresh",Per 100 g,55.0,9.3,0.9,2.3,0.0,211.0,100,TH
1068G223,"Mussels, steaming",Per 100 g,97.0,15.5,2.1,3.7,0.0,0.0,100,TH
1069G179,"Mussel, green, dried",Per 100 g,272.0,41.6,4.9,15.1,0.0,0.0,100,TH
106N7,Mace,Per 100 g,390.0,14.2,15.4,48.2,0.0,0.0,100,TH
1070G180,"Clam, undulated surf, raw",Per 100 g,64.0,10.2,0.5,4.5,0.0,0.0,100,TH
1071G224,"Clam, undulated surf, stir fried",Per 100 g,66.0,9.6,1.6,3.2,0.0,0.0,100,TH
1072G184,"Scallop, radiated, raw",Per 100 g,76.0,6.8,0.9,10.1,0.0,0.0,100,TH
1073G186,"Clam, bean / wedge shell, dried",Per 100 g,247.0,48.1,2.0,9.1,0.0,0.0,100,TH
1074G187,"Clam, razor, dried",Per 100 g,300.0,43.4,2.9,25.2,0.0,0.0,100,TH
1075G188,"Shark fins, dried",Per 100 g,282.0,61.6,2.3,3.8,0.0,0.0,100,TH
1076G10,"Shrimp, canned in brine",Per 100 g,102.0,21.3,1.0,1.8,0.0,601.0,100,TH
1077G226,"Shrimp, seasoned ground, baked, dried, packed in glass bottle",Per 100 g,334.0,68.7,5.1,1.7,2.7,2.6,100,TH
1078G227,"Shrimp, meat ball, blanched",Per 100 g,230.0,12.6,7.3,14.9,0.0,694.0,100,TH
1079G228,"Shrimp, meat ball, fried",Per 100 g,256.0,13.6,10.3,16.5,0.0,719.0,100,TH
107N18,Lemongrass,Per 100 g,77.0,0.8,1.3,15.4,0.0,12.0,100,TH
1080G196,Fermented shrimp (Kung-jom),Per 100 g,54.0,10.6,0.8,0.0,1.8,3.9,100,TH
1081G229,"Fish, crispy rice",Per 100 g,507.0,10.2,25.9,56.9,2.1,779.0,100,TH
1082G230,"Fermented fish with pineapple pulp, salted (Kem-bug-nud)",Per 100 g,94.0,7.7,3.8,7.1,0.0,3.7,100,TH
1083G231,"Tuna, spread",Per 100 g,173.0,8.9,12.4,5.5,1.3,406.0,100,TH
1084G232,"Fish, meat ball, blanched",Per 100 g,78.0,12.8,0.8,4.8,0.0,639.0,100,TH
1085G233,"Fish, meat ball, fried",Per 100 g,130.0,16.4,5.3,3.9,0.0,648.0,100,TH
1086G234,"Fish, minced strip, blanched",Per 100 g,109.0,15.2,4.2,2.3,0.0,663.0,100,TH
1087G235,"Fish, skin, fried, seasoned",Per 100 g,546.0,53.8,35.8,2.0,0.0,912.0,100,TH
1088G236,"Fish, baked with honey, sweet",Per 100 g,415.0,9.2,14.1,62.1,1.6,531.0,100,TH
1089G237,"Spotted featherback, meatball",Per 100 g,81.0,14.5,1.0,3.2,0.0,756.0,100,TH
108N21,"Coriander, seeds",Per 100 g,325.0,13.6,0.6,66.4,0.0,0.0,100,TH
1090G238,Fermented spotted featherback (Nham),Per 100 g,118.0,16.3,4.1,2.4,2.8,832.0,100,TH
1091G239,"White scale, crispy, seasoning",Per 100 g,487.0,41.7,27.1,17.9,2.0,819.0,100,TH
1092G197,"Fermented fish (Pla-jom), raw",Per 100 g,64.0,10.9,1.3,0.5,3.0,4.4,100,TH
1093G198,"Fermented fish (Pla-jao), common silver barb, raw",Per 100 g,94.0,10.7,2.7,6.5,0.4,2.0,100,TH
1094G240,"Anchovy, crispy, seasoning",Per 100 g,453.0,65.3,19.9,0.3,5.0,1.2,100,TH
1095G241,"Sardines, fried, spicy",Per 100 g,339.0,29.4,15.9,18.7,1.7,1.0,100,TH
1096G242,"Sardines, fried, with chilli sauce",Per 100 g,149.0,14.9,4.9,10.4,2.0,1.0,100,TH
1097G60,"Sardines, canned in tomato sauce",Per 100 g,84.0,13.7,2.2,1.6,1.1,371.0,100,TH
1098G61,"Sardines, canned in water, drained",Per 100 g,115.0,22.7,2.2,0.8,0.0,87.0,100,TH
1099G62,"Sardines, canned in oil, drained",Per 100 g,134.0,22.1,4.9,0.0,0.0,336.0,100,TH
109N20,"Coriander, root",Per 100 g,46.0,1.7,0.2,6.3,5.8,0.0,100,TH
10A11,"Rice, polished, cooked",Per 100 g,136.0,2.2,0.2,31.1,0.0,20.0,100,TH
1100G69,"Saba, steamed with soy sauce, canned",Per 100 g,288.0,12.2,21.8,10.2,0.3,673.0,100,TH
1101G243,"Salmon, canned in oil",Per 100 g,224.0,19.8,15.6,0.7,0.9,34.0,100,TH
1102G244,"Walking catfish, crispy, seasoned",Per 100 g,399.0,30.8,17.5,29.1,1.2,739.0,100,TH
1103G245,"Walking catfish, marinated, sun-dried",Per 100 g,166.0,20.2,9.5,0.0,0.0,817.0,100,TH
1104G82,"Short-bodied mackerel, salted (Pla-too-khem)",Per 100 g,145.0,24.3,4.2,2.3,0.0,0.0,100,TH
1105G90,"Mackerel, canned in tomato sauce and chilli sauce",Per 100 g,101.0,15.2,3.2,1.7,1.7,389.0,100,TH
1106G92,"Mackerel, canned in oil, oil excluded",Per 100 g,140.0,23.4,4.9,0.3,0.0,414.0,100,TH
1107G84,"Tuna, canned in water, liquid excluded",Per 100 g,111.0,26.0,0.7,0.0,0.0,95.0,100,TH
1108G83,"Tuna, canned in brine, liquid excluded",Per 100 g,105.0,23.9,0.6,0.8,0.0,269.0,100,TH
1109G85,"Tuna, canned in oil, oil excluded",Per 100 g,179.0,22.6,9.6,0.2,0.0,235.0,100,TH
110N25,"Chilli, bird, ground",Per 100 g,322.0,16.2,13.5,7.6,52.4,161.0,100,TH
1110G246,"Tuna, stir fried in black pepper sauce, canned",Per 100 g,198.0,13.2,13.1,5.0,3.7,313.0,100,TH
1111G248,"Mackerel, steamed in shitake sauce, canned",Per 100 g,202.0,15.6,12.7,5.4,1.9,337.0,100,TH
1112G249,"Mackerel, steamed with lime, canned",Per 100 g,132.0,15.1,6.1,3.3,1.8,444.0,100,TH
1113G250,"Mackerel, canned in tomato sauce",Per 100 g,144.0,15.2,8.7,0.0,2.5,405.0,100,TH
1114G103,"Fermented fish (Pla-ra), different markets",Per 100 g,97.0,12.9,4.0,2.0,0.5,6.2,100,TH
1115G251,"Fermented fish (Pla-ra), seasoned, ground, dried, packed in glass bottle",Per 100 g,368.0,65.9,10.5,0.0,5.1,1.5,100,TH
1116G105,"Fermented fish (Pla-ra), three-spot gourami",Per 100 g,79.0,7.8,2.4,6.2,0.0,5.6,100,TH
1117G106,"Fermented fish (Pla-ra), striped snake-head",Per 100 g,91.0,14.9,1.4,4.3,0.0,5.0,100,TH
1118G64,"Fermented fish (Pla-ra), nile tilapia",Per 100 g,123.0,20.9,4.3,0.1,0.0,6.7,100,TH
1119G63,"Fermented fish (Pla-ra), greater black shark",Per 100 g,210.0,20.0,14.0,0.9,0.0,4.8,100,TH
111N33,"Pepper, hot, dried",Per 100 g,353.0,14.9,8.6,59.9,0.0,0.0,100,TH
1120G67,"Fermented fish (Pla-ra), flesh, for soup (northeast Thai style), mixed fish varieties",Per 100 g,73.0,9.3,3.2,1.5,0.0,5.2,100,TH
1121G66,"Fermented fish (Pla-ra), mixed flesh and sauce, for soup (northeast Thai style), mixed fish varieties",Per 100 g,69.0,7.5,2.6,3.8,0.0,5.5,100,TH
1122G59,"Fermented fish (Pla-ra-taung), mixed fish varieties",Per 100 g,52.0,7.2,1.9,1.4,0.0,4.8,100,TH
1123G57,"Fermented fish (Pla-ra), sauce, boiled, for papaya salad",Per 100 g,31.0,3.4,0.6,2.8,0.0,5.6,100,TH
1124G68,"Fermented fish (Pla-ra), sauce, for papaya salad",Per 100 g,36.0,3.4,0.4,4.4,0.0,5.4,100,TH
1125G58,"Fermented fish, ground (Jaew-bong)",Per 100 g,147.0,17.0,5.9,6.3,0.0,5.7,100,TH
1126G114,"Freshwater sole, River sole, salted",Per 100 g,262.0,46.9,2.3,13.5,0.0,0.0,100,TH
1127G56,"Fermented fish (Pla-som), mimrow, small, with fishbone, raw",Per 100 g,124.0,18.2,4.6,2.3,0.0,2.3,100,TH
1128G55,"Fermented fish (Pla-som), mimrow, small, without fishbone, raw",Per 100 g,107.0,13.8,3.1,5.6,0.0,1.2,100,TH
1129G53,"Fermented fish (Pla-som), large size, flesh, fried",Per 100 g,348.0,25.2,26.2,2.5,0.0,1.9,100,TH
112N27,"Pepper, white, powder",Per 100 g,378.0,11.3,6.5,68.6,0.0,0.0,100,TH
1130G54,"Fermented fish (Pla-som), ground, raw",Per 100 g,105.0,17.8,1.0,6.1,0.0,1.4,100,TH
1131G119,"Snake skin gourami, salted, dried",Per 100 g,221.0,38.4,7.4,0.0,0.0,463.0,100,TH
1132G120,"Snake skin gourami, salted, dried, boiled",Per 100 g,166.0,30.6,4.8,0.0,0.0,1.7,100,TH
1133G121,"Snake skin gourami, salted, dried, fried",Per 100 g,392.0,42.7,24.3,0.5,0.0,1.6,100,TH
1134G122,"Snake skin gourami, salted, dried, grilled",Per 100 g,266.0,46.2,9.0,0.0,0.0,3.2,100,TH
1135G134,"Slender queen fish, salted, dried",Per 100 g,173.0,35.3,2.5,2.3,0.0,0.0,100,TH
1136G70,"Squid snack, crispy",Per 100 g,163.0,2.4,4.5,28.1,0.0,174.0,100,TH
1137G71,"Squid snack, crispy, seasoned",Per 100 g,363.0,24.9,2.0,61.3,0.0,2.0,100,TH
1138G91,"Squid snack, seasoned",Per 100 g,348.0,41.1,3.2,38.8,0.0,1.2,100,TH
1139G194,"Squid snack, baked",Per 100 g,380.0,46.9,3.3,40.5,0.0,1.5,100,TH
113N26,"Pepper, black, powder",Per 100 g,364.0,12.4,7.3,62.2,0.0,0.0,100,TH
1140G195,"Squid snack, dried",Per 100 g,369.0,56.7,3.5,27.5,0.0,2.0,100,TH
1141G142,"Squid, splendid salted, dried",Per 100 g,299.0,62.4,3.8,3.7,0.0,0.0,100,TH
1142G104,"Squid snack, baked",Per 100 g,353.0,38.2,2.8,43.8,0.0,312.0,100,TH
1143G107,"Squid snack, mixed with wheat flour, crispy",Per 100 g,361.0,24.3,1.7,62.1,0.0,1.5,100,TH
1144G108,"Dried squid, rehydrated with lye water, blanched",Per 100 g,45.0,10.2,0.4,0.0,0.0,0.0,100,TH
1145G148,"Hardtail scad, salted",Per 100 g,177.0,35.5,2.9,2.2,0.0,0.0,100,TH
1146G158,"Crab, meat, canned in brine, drained",Per 100 g,78.0,16.1,0.8,1.5,0.0,512.0,100,TH
1147G161,"Crab, blue swimming, salted",Per 100 g,80.0,15.1,0.9,2.8,0.0,0.0,100,TH
1148G162,"Crab, Meder's mangrove, salted",Per 100 g,81.0,7.4,0.3,12.2,0.0,0.0,100,TH
1149G164,"Jellyfish, preserved",Per 100 g,8.0,0.7,0.4,0.5,0.0,0.0,100,TH
114N28,"Pepper, black, whole, fresh",Per 100 g,82.0,3.5,1.6,13.3,0.0,0.0,100,TH
1150G199,Fermented fish (Som-fak),Per 100 g,92.0,12.1,1.3,7.4,0.5,2.0,100,TH
1151G167,"Mussel, horse, fermented",Per 100 g,94.0,6.1,0.9,15.3,0.0,0.0,100,TH
1152G170,"Cockle / ark shell, fermented",Per 100 g,82.0,8.7,2.9,5.0,0.0,3.0,100,TH
1153G175,"Oyster, canned",Per 100 g,339.0,13.7,28.4,6.3,1.5,583.0,100,TH
1154G176,"Oyster, pearl, fermented",Per 100 g,64.0,5.8,2.5,4.6,0.0,0.0,100,TH
1155G178,"Mussel, green, fermented",Per 100 g,50.0,2.9,0.4,8.7,0.0,4.0,100,TH
1156G181,"Clam, undulated surf, fried with chilli, canned",Per 100 g,384.0,19.8,21.4,25.6,4.7,1.3,100,TH
1157G182,"Clam, undulated surf, canned in brine, liquid excluded",Per 100 g,92.0,15.4,2.0,2.9,0.0,527.0,100,TH
1158G185,"Clam, bean / wedge shell, fermented",Per 100 g,172.0,10.5,0.3,31.6,0.0,0.0,100,TH
1159G252,"Tuna Saku (grade A, size S), flesh, without skin, raw, frozen, ARO brand",Per 100 g,102.0,24.2,0.6,0.0,0.0,372.0,100,TH
115N154,"Chilli, ground",Per 100 g,362.0,13.9,20.5,4.7,51.0,29.0,100,TH
1160G253,"Ronan, chunk, flesh, without skin, raw, frozen slices",Per 100 g,87.0,21.2,0.2,0.0,0.0,321.0,100,TH
1161G254,"Crab, Alaskan king, whole, boiled, frozen",Per 100 g,89.0,19.7,1.1,0.0,0.0,307.0,100,TH
1162G255,"Serrated mud crab, soft shell, whole, raw, frozen, ARO brand",Per 100 g,51.0,9.1,0.8,1.7,0.0,351.0,100,TH
1163G257,"Yellowtail (Hamachi), fillet, with skin, raw, frozen slices",Per 100 g,281.0,21.2,21.7,0.0,0.0,58.0,100,TH
1164G256,"Pangasius (dolly fish), flesh, without skin, raw, frozen slices",Per 100 g,53.0,10.6,1.0,0.1,0.0,280.0,100,TH
1165G258,"Capelin, raw, frozen",Per 100 g,86.0,13.2,3.4,0.3,0.0,253.0,100,TH
1166G259,"Blue Mackerel (Saba), raw",Per 100 g,112.0,21.2,2.9,0.0,0.0,161.0,100,TH
1167H1,"Egg, hen, white, raw",Per 100 g,51.0,10.2,1.0,0.0,0.0,183.0,100,TH
1168H2,"Egg, hen, yolk, raw",Per 100 g,334.0,15.3,30.2,0.1,0.0,134.0,100,TH
1169H5,"Egg, hen, yolk, boiled (5 min)",Per 100 g,356.0,17.7,30.7,2.3,0.0,0.0,100,TH
116N35,"Leech lime or Kaffir lime, leaves",Per 100 g,137.0,5.4,3.1,21.7,0.0,23.0,100,TH
1170H4,"Egg, hen, omelet (fish sauce added)",Per 100 g,361.0,13.9,32.8,2.3,0.0,591.0,100,TH
1171H18,"Egg, hen, whole, boiled (10 min)",Per 100 g,138.0,13.1,8.3,2.7,0.0,139.0,100,TH
1172H6,"Egg, hen, steamed (water and fish sauce added)",Per 100 g,61.0,4.9,3.3,2.9,0.0,351.0,100,TH
1173H3,"Egg, hen, whole, raw (1999)",Per 100 g,155.0,12.8,10.8,1.6,0.0,178.0,100,TH
1174H19,"Egg, hen, whole, raw (2001-2010)",Per 100 g,133.0,13.0,8.3,1.5,0.0,134.0,100,TH
1175H20,"Egg, hen, young, boiled",Per 100 g,373.0,19.8,32.5,0.2,0.0,58.0,100,TH
1176H15,"Egg, duck, salted, raw",Per 100 g,180.0,13.7,9.7,9.3,0.0,0.0,100,TH
1177H16,"Egg, duck, salted, iodine fortified, raw",Per 100 g,184.0,13.2,13.9,1.6,0.0,962.0,100,TH
1178H32,"Egg, crocodile, white",Per 100 g,15.0,2.5,0.2,0.8,0.0,0.0,100,TH
1179H33,"Egg, crocodile, yolk",Per 100 g,228.0,17.3,17.0,1.5,0.0,0.0,100,TH
117N34,"Leech lime or Kaffir lime, peels",Per 100 g,124.0,3.4,1.4,24.3,0.0,0.0,100,TH
1180H34,"Egg, crocodile, raw",Per 100 g,128.0,11.2,8.3,2.2,0.0,0.0,100,TH
1181H21,"Egg, quail, whole, raw",Per 100 g,160.0,13.6,11.5,0.3,0.0,139.0,100,TH
1182H23,"Egg, quail, fried in a mold",Per 100 g,230.0,14.3,18.5,1.4,0.0,163.0,100,TH
1183H8,"Egg, quail, whole, boiled (5 min)",Per 100 g,150.0,13.1,10.5,0.5,0.0,130.0,100,TH
1184H10,"Roe, bluespot grey mullet, salted",Per 100 g,480.0,41.7,34.8,0.0,0.0,0.0,100,TH
1185H11,"Roe, pomfret, raw",Per 100 g,135.0,13.6,7.7,2.9,0.0,0.0,100,TH
1186H17,"Roe, flying fish (tobiko), raw",Per 100 g,100.0,11.3,3.8,5.2,0.0,958.0,100,TH
1187H24,"Roe, snakeskin gourami, dried, fried",Per 100 g,552.0,23.0,49.9,2.6,0.0,426.0,100,TH
1188H25,"Roe, squid, fried",Per 100 g,285.0,21.5,18.1,9.0,0.0,494.0,100,TH
1189H12,"Egg, duck, white, raw",Per 100 g,0.0,0.0,0.0,0.0,0.0,193.0,100,TH
118N155,"Hairy basil or Hoary basil, leaves",Per 100 g,26.0,2.4,0.4,0.1,5.7,27.0,100,TH
1190H13,"Egg, duck, yolk, raw",Per 100 g,0.0,0.0,0.0,0.0,0.0,146.0,100,TH
1191H27,"Egg, duck, omelet, fish sauce added",Per 100 g,347.0,13.9,30.9,3.1,0.0,414.0,100,TH
1192H14,"Egg, duck, whole, raw",Per 100 g,173.0,13.9,12.2,1.9,0.0,130.0,100,TH
1193H26,"Egg, duck, whole, boiled",Per 100 g,162.0,13.6,11.5,0.9,0.0,128.0,100,TH
1194H29,"Egg, red ant",Per 100 g,86.0,7.0,3.2,7.3,0.0,28.0,100,TH
1195H35,"Red ant, larva and baby ant",Per 100 g,74.0,8.2,2.6,4.5,0.0,0.0,100,TH
1196H30,"Eggs, horseshoe crab, steamed",Per 100 g,200.0,27.9,6.0,8.4,0.0,101.0,100,TH
1197H36,"subterranean ants, egg",Per 100 g,129.0,8.1,10.1,1.4,0.0,0.0,100,TH
1198H31,"Egg, steamed, soft, packed in a pouch",Per 100 g,56.0,4.6,3.0,1.8,0.9,319.0,100,TH
1199J69,"Cheese, cheddar",Per 100 g,380.0,19.7,28.2,11.6,0.0,1.3,100,TH
119N39,"Cumin (Yira), leaves",Per 100 g,354.0,16.9,7.7,54.2,0.0,0.0,100,TH
11A13,"Rice, home-pounded, brown, raw",Per 100 g,357.0,6.8,2.3,76.3,1.7,11.0,100,TH
1200J2,"Millk, condensed, filled, unsweetened",Per 100 g,123.0,6.3,6.5,9.6,0.0,104.0,100,TH
1201J4,"Milk, condensed, filled, recombined with butter fat and palm oil, sweetened",Per 100 g,330.0,7.4,8.1,56.7,0.0,98.0,100,TH
1202J5,"Milk, condensed, sweetened",Per 100 g,342.0,7.9,9.1,56.9,0.0,116.0,100,TH
1203J51,"Milk, skimmed, pasteurised, per 100 mL",Per 100 g,42.0,4.1,0.1,5.9,0.0,62.0,100,TH
1204J67,"Milk, human, 1 month lactation, per 100 mL",Per 100 g,52.0,0.9,2.0,7.7,0.0,0.0,100,TH
1205J6,"Milk, human, 3 month lactation, per 100 mL",Per 100 g,56.0,0.8,2.5,7.6,0.0,0.0,100,TH
1206J68,"Milk, human, 6 month lactation, per 100 mL",Per 100 g,56.0,0.8,2.5,7.6,0.0,0.0,100,TH
1207J3,"Milk, recombined, skimmed, UHT, per 100 mL",Per 100 g,43.0,3.2,0.2,7.1,0.0,50.0,100,TH
1208J8,"Milk, recombined, low fat, UHT, per 100 mL",Per 100 g,49.0,3.1,1.6,5.4,0.0,50.0,100,TH
1209J11,"Milk, recombined, flavoured, low fat, UHT, different flavours, per 100 mL",Per 100 g,62.0,3.0,1.5,9.0,0.0,0.0,100,TH
120N40,"Kitchen Mint or Marsh Mint, leaves",Per 100 g,34.0,3.2,0.6,0.9,5.6,46.0,100,TH
1210J12,"Milk, recombined, flavoured, UHT, different flavours, per 100 mL",Per 100 g,83.0,3.1,3.4,9.5,0.5,36.0,100,TH
1211J14,"Milk, flavoured, tablet, different flavours",Per 100 g,410.0,17.3,16.7,42.4,10.3,198.0,100,TH
1212J10,"Yoghurt, drinking, skimmed, pasteurised, different flavours, per 100 mL",Per 100 g,75.0,1.5,0.0,17.0,0.0,0.0,100,TH
1213J15,"Yoghurt, drinking, skimmed, UHT, different flavours, high calcium, per 100 mL",Per 100 g,77.0,1.8,0.0,17.5,0.0,31.0,100,TH
1214J13,"Yoghurt, drinking, skimmed, UHT, different flavours, per 100 mL",Per 100 g,73.0,2.0,0.0,16.2,0.0,37.0,100,TH
1215J17,"Yoghurt, drinking, low fat, pasteurised, different flavours, per 100 mL",Per 100 g,76.0,1.5,0.2,16.8,0.0,41.0,100,TH
1216J25,"Yoghurt, drinking, pasteurised, different flavours, per 100 mL",Per 100 g,87.0,1.5,1.5,16.7,0.0,36.0,100,TH
1217J20,"Yoghurt, drinking, pasteurised, plain, per 100 mL",Per 100 g,93.0,1.6,1.2,18.7,0.0,44.0,100,TH
1218J34,"Yoghurt, drinking, UHT, different flavours, per 100 mL",Per 100 g,91.0,1.5,1.3,18.2,0.0,41.0,100,TH
1219J21,"Yoghurt, drinking, UHT, plain, per 100 mL",Per 100 g,84.0,1.6,1.3,16.4,0.0,40.0,100,TH
121N41,"Shallot, bulbs",Per 100 g,64.0,2.5,0.0,12.0,2.4,22.0,100,TH
1220J9,"Milk, cultured, Yakultฎ brand, per 100 mL",Per 100 g,82.0,1.5,0.0,18.8,0.0,0.0,100,TH
1221J7,"Milk, powder, whole",Per 100 g,495.0,25.6,26.5,37.4,2.0,346.0,100,TH
1222J72,"Milk powder, defatted",Per 100 g,357.0,33.3,0.6,54.6,0.0,394.0,100,TH
1223J66,"Milk, powder, low fat",Per 100 g,458.0,19.0,17.4,55.0,1.8,249.0,100,TH
1224J23,"Milk, powder, modified, follow up formula, for infants and children (6 months to 3 years)",Per 100 g,482.0,13.1,21.9,57.5,1.1,180.0,100,TH
1225J22,"Milk, powder, modified, follow up formula, for infants and children (new born to 1 year)",Per 100 g,468.0,16.4,19.4,55.8,2.1,51.0,100,TH
1226J24,"Milk, powder, different flavours",Per 100 g,467.0,18.3,20.1,53.1,0.0,221.0,100,TH
1227J1,"Milk, low fat, sterilised, per 100 mL",Per 100 g,52.0,4.4,1.3,4.9,1.1,56.0,100,TH
1228J52,"Milk, low fat, pasteurised, plain, per 100 mL",Per 100 g,54.0,3.8,1.6,5.9,0.0,62.0,100,TH
1229J30,"Milk, low fat, pasteurised, sweetened, per 100 mL",Per 100 g,64.0,3.3,1.5,9.4,0.0,42.0,100,TH
122N37,"Sweet basil, leaves",Per 100 g,32.0,2.8,0.2,2.5,3.9,26.0,100,TH
1230J31,"Milk, low fat, UHT, different flavours, per 100 mL",Per 100 g,64.0,2.9,1.2,10.1,0.0,61.0,100,TH
1231J54,"Milk, low fat, UHT, plain, per 100 mL",Per 100 g,52.0,3.7,1.3,6.2,0.0,50.0,100,TH
1232J38,"Milk, whole, pasteurised, coffee flavour, per 100 mL",Per 100 g,83.0,2.6,3.5,10.1,0.0,48.0,100,TH
1233J40,"Milk, whole, pasteurised, chocolate flavour, per 100 mL",Per 100 g,90.0,2.8,3.4,12.0,0.0,45.0,100,TH
1234J41,"Milk, whole, pasteurised, different flavours, per 100 mL",Per 100 g,84.0,3.2,3.8,9.2,0.0,51.0,100,TH
1235J39,"Milk, whole, pasteurised, plain, per 100 mL",Per 100 g,67.0,3.1,3.7,5.2,0.0,45.0,100,TH
1236J43,"Milk, whole, pasteurised, sweetened, per 100 mL",Per 100 g,82.0,3.1,3.6,9.2,0.0,48.0,100,TH
1237J46,"Milk, whole, UHT, chocolate flavour, per 100 mL",Per 100 g,85.0,3.1,3.5,10.1,0.0,52.0,100,TH
1238J47,"Milk, whole, UHT, different flavours, per 100 mL",Per 100 g,83.0,3.2,3.5,9.6,0.0,57.0,100,TH
1239J45,"Milk, whole, UHT, plain, per 100 mL",Per 100 g,71.0,3.2,3.7,6.1,0.0,50.0,100,TH
123N42,Cinnamon,Per 100 g,329.0,3.3,1.0,76.6,0.0,0.0,100,TH
1240J32,"Milk, whole, UHT, sweetened, per 100 mL",Per 100 g,87.0,3.3,3.6,10.2,0.0,58.0,100,TH
1241J50,"Milk, whole, sterilised, plain, per 100 mL",Per 100 g,76.0,3.2,3.4,8.1,0.0,52.0,100,TH
1242J35,"Yoghurt, cream, low-fat, different flavours",Per 100 g,92.0,2.9,0.8,18.1,0.0,0.0,100,TH
1243J33,"Yoghurt, cream, with nata de coco",Per 100 g,111.0,3.3,2.4,18.8,0.0,57.0,100,TH
1244J60,"Yoghurt, cream, different flavours, average",Per 100 g,106.0,3.5,2.8,16.0,0.9,55.0,100,TH
1245J61,"Yoghurt, cream, plain",Per 100 g,94.0,4.5,3.0,12.0,0.0,63.0,100,TH
1246J62,"Yoghurt, cream, cereal flavoured",Per 100 g,114.0,3.5,2.5,19.2,0.0,52.0,100,TH
1247J36,"Whey protein, powder",Per 100 g,400.0,7.8,9.7,68.7,3.4,0.0,100,TH
1248K23,"Coconut milk, fresh",Per 100 g,148.0,1.6,14.7,2.1,0.0,0.0,100,TH
1249K24,"Coconut milk, cream",Per 100 g,272.0,3.1,28.1,1.6,0.0,29.0,100,TH
124N44,"Paste, shrimp, fermented (Ka-pi), good quality",Per 100 g,128.0,24.3,2.4,2.0,0.0,5.2,100,TH
1250K8,"Coconut meat, grated",Per 100 g,326.0,3.5,28.7,13.3,0.0,0.0,100,TH
1251K17,"Coconut meat, roasted",Per 100 g,650.0,6.5,60.4,12.7,14.6,651.0,100,TH
1252K25,"Coconut meat, dried",Per 100 g,482.0,4.1,39.2,2.9,50.8,83.0,100,TH
1253K9,Lard,Per 100 g,750.0,3.9,81.6,0.0,0.0,16.0,100,TH
1254K2,"Coconut milk, canned",Per 100 g,170.0,1.8,16.6,3.1,0.1,24.0,100,TH
1255K1,"Coconut milk, powder, commercial packed",Per 100 g,674.0,8.0,57.7,29.4,2.0,94.0,100,TH
1256K28,"Coconut milk, UHT, commercial packed",Per 100 g,193.0,2.0,18.0,5.6,0.0,122.0,100,TH
1257K51,Coffee-mate,Per 100 g,560.0,1.9,36.2,56.5,0.0,0.0,100,TH
1258K3,Sandwich spread,Per 100 g,480.0,1.0,43.8,20.2,0.0,605.0,100,TH
1259K29,"Oil, rapeseed (canola), per 100 mL",Per 100 g,806.0,0.0,89.5,0.0,0.0,0.0,100,TH
